ville,canton,prix_metre_carre_moyen
Zeiningen,AG,0.0
Zermatt,VS,0.0
Zihlschlacht-Sitterdorf,TG,13.28125
Zizers,GR,0.0
Zofingen,AG,16.42080378250591
Zollikon,ZH,35.82887700534759
Zuchwil,SO,14.639084507042254
Zufikon,AG,0.0
Zug,ZG,69.10237659963437
Zumikon,ZH,0.0
Zunzgen,BL,0.0
Zurzach,AG,0.0
Zwingen,BL,18.498122653316646
Zäziwil,BE,17.320574162679424
Zürich,ZH,60.706932052161974
