ville,canton,prix,metres_carres,type,nbr_pieces
Rheinfelden,AG,1750,117,Appartement ,4.5
Courroux,JU,1550,104,Appartement ,4.5
Massagno,TI,940,44,Appartement ,2.5
Thun,BE,1260,80,Appartement ,4.0
Zürich,ZH,3500,50,Appartement meublé ,3.0
Tafers,FR,1300,89,Appartement ,4.5
Zuchwil,SO,990,66,Appartement ,4.0
Le Locle,NE,690,77,Appartement ,4.0
Murten,FR,1700,120,Mansarde ,2.5
Leytron,VS,1450,92,Appartement ,3.5
Zürich,ZH,2240,20,Appartement meublé,
Niederrohrdorf,AG,1550,62,Appartement ,3.5
La Chaux-de-Fonds,NE,770,50,Appartement ,3.0
Belfaux,FR,1350,75,Appartement ,4.5
Büsserach,SO,1775,89,Appartement ,3.5
Widnau,SG,2900,175,Maison ,6.5
Oberägeri,ZG,2280,130,Appartement ,4.5
La Chaux-de-Fonds,NE,900,65,Appartement ,4.0
La Chaux-de-Fonds,NE,790,77,Appartement ,3.0
Oberbipp,BE,1600,143,Duplex ,5.5
Sempach,LU,2190,105,Appartement ,4.5
Muttenz,BL,1400,68,Appartement ,3.0
Röthenbach im Emmental,BE,1100,98,Appartement ,4.5
Pratteln,BL,2040,120,Duplex ,4.5
Boswil,AG,2200,156,Appartement ,4.5
Elsau,ZH,2650,140,Appartement terrasse ,5.5
Sion,VS,1180,51,Appartement ,2.5
La Chaux-de-Fonds,NE,789,78,Appartement ,3.5
Ormont-Dessus,VD,1050,44,Studio ,2.5
Ormont-Dessus,VD,1800,120,Appartement ,4.5
Cologny,GE,18000,253,Appartement ,7.0
Lucens,VD,1620,80,Appartement ,3.5
Genthod,GE,4950,170,Maison contiguë ,7.0
Yverdon-les-Bains,VD,1680,100,Appartement ,4.5
